	wikidata_code	birth	death	updated_death_date	approx_birth	approx_death	birth_min	birth_max	death_min	death_max	gender	level1_main_occ	name	un_subregion	birth_estimation	death_estimation	bigperiod_birth_graph_b	bigperiod_death_graph_b	curid	level2_main_occ	freq_main_occ	freq_second_occ	level2_second_occ	level3_main_occ	bigperiod_birth	bigperiod_death	wiki_readers_2015_2018	non_missing_score	total_count_words_b	number_wiki_editions	total_noccur_links_b	sum_visib_ln_5criteria	ranking_visib_5criteria	all_geography_groups	string_citizenship_raw_d	citizenship_1_b	citizenship_2_b	list_areas_of_rattach	area1_of_rattachment	area2_of_rattachment	list_wikipedia_editions	un_region	group_wikipedia_editions	bplo1	dplo1	bpla1	dpla1	pantheon_1	level3_all_occ
975806	Q2851512	1971.0					1971.0	1971.0			Female	Culture	Annette_Schreiber	Western Europe	1971.0	2049.5854	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	1060572	Culture-core	0.66666669	0.33333334	Culture-periphery	actor	5.Contemporary period 1901-2020AD	Missing	48854	3	3959	2	6	22.125195	371268.5	Germany	'Germany'	Germany		D:_'Germany'_matchB1_P:_'Germany'	Germany	Missing	frwiki|ruwiki	Europe	grB	13.38333320617680		52.51666641235350		0	D:_actor_photographer_model_P:_actrice_photographe_mannequin_French
262976	Q15784582	1797.0	1861.0				1797.0	1797.0	1861.0	1861.0	Male	Leadership	August_Tilling	Western Europe	1797.0	1861.0	4.Mid Modern Period 1751-1900AD	4.Mid Modern Period 1751-1900AD	7658770	Administration/Law	1.0		Missing	lawyer	4.Mid Modern Period 1751-1900AD	4.Mid Modern Period 1751-1900AD	391	3	1185	1	3	15.136669	1886478.0			Germany	Russia	P:_'Germany'_'Russia'_can't_verifyB1B2	Old_(before_year_1990_AD)_Germany	Old_(before_year_1990_AD)_Russia	dewiki	Europe	grB	24.1069450378418	24.1069450378418	56.9474983215332	56.9474983215332	0	D:_lawyer_P:_jurist_German
737064	Q21934563										Male	Discovery/Science	Sydney_Salins	South Asia incl. Indian Peninsula					48493844	Academia	0.60000002	0.2	Politics	theologian	Missing	Missing	916	2	1958	1	0	14.810028	2353499.0			India		P:_'India'_can't_verifyB1	India	Missing	enwiki	Asia	grA	76.0		15.0		0	D:_theologian_P:_scholar_manga_senate_English
1369948	Q44344	315.0	367.0		circa	circa	315.0	315.0	367.0	367.0	Male	Leadership	Hilary_of_Poitiers	Southern Europe	315.0	367.0	1.Ancient History Before 500AD	1.Ancient History Before 500AD	87384	Religious	0.47999999	0.36000001	Academia	bishop	1.Ancient History Before 500AD	1.Ancient History Before 500AD	313270	3	36944	48	38	30.727402	9457.0	Roman_Empire	'Ancient_Rome'	Roman_Empire		D:_'Ancient_Rome'_mismatchB1_P:_'France'	Roman_Empire	Missing	enwiki|dewiki|frwiki|eswiki|ruwiki|itwiki|jawiki|nlwiki|plwiki|ptwiki|svwiki|huwiki|fiwiki|ukwiki|kowiki|cawiki|cswiki|srwiki|rowiki|idwiki|bgwiki|astwiki|azwiki|barwiki|bewiki|be_x_oldwiki|brwiki|cebwiki|eowiki|glwiki|hrwiki|hywiki|lawiki|mlwiki|mtwiki|scwiki|shwiki|skwiki|slwiki|swwiki|elwiki|viwiki|hewiki|fawiki|scowiki|gawiki|sqwiki|etwiki	Europe	grA	0.3352777659893040	0.3352777659893040	46.58111190795900	46.58111190795900	1	D:_theologian_priest_philosopher_P:_bishop_doctor_church_English_Ã©crivain_thÃ©ologien_dÃ©fenseur_French_vescovo_teologo_filosofo_Italian_bischof_kirche_vertreter_German_obisp_escritor_iglesia_Spanish_bispo_igreja_Portuguese_teolog_biskop_Swedish
659988	Q20641518	1995.0					1995.0	1995.0			Male	Sports/Games	Alexander_Å poljariÄ	Southern Europe	1995.0	2073.0737	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	46794912	Sports/Games	1.0		Missing	football	5.Contemporary period 1901-2020AD	Missing	7976	3	2182	1	4	18.975735	897422.0	Cyprus	'Cyprus'	Cyprus		D:_'Cyprus'_matchB1_P:_'Cyprus'	Cyprus	Missing	enwiki	Europe	grA	33.04428482055660		34.67499542236330		0	D:_football_P:_football_goalkeeper_English
204258	Q1494355	1962.0					1962.0	1962.0			Male	Discovery/Science	Thomas_Osang	Western Europe	1962.0	2048.6538	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	5399890	Academia	1.0		Missing	economist	5.Contemporary period 1901-2020AD	Missing	749	3	1262	2	8	17.061148	1058876.0	Germany	'Germany'	Germany		D:_'Germany'_matchB1_P:_'Germany'	Germany	Missing	dewiki|enwiki	Europe	grB	7.333333492279050		51.43333435058590		0	D:_economist_academic_P:_wissenschaftler_professor_German
1976238	Q6760103	1934.0					1934.0	1934.0			Female	Culture	Margaretta_D'Arcy	Western Europe	1934.0	2009.0336	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	22639508	Culture-core	0.71428573	0.2857143	Politics	author	5.Contemporary period 1901-2020AD	Missing	14568	3	3769	1	13	21.153893	598180.0	Ireland	'Ireland'	Ireland		D:_'Ireland'_matchB1_P:_'Ireland'	Ireland	Missing	enwiki	Europe	grA	-0.1274999976158140		51.50722122192380		0	D:_author_activist_P:_actress_writer_playwright_English
2118845	Q7422351	1763.0					1763.0	1763.0			Female	Culture	Sarah_Green_(novelist)	Western Europe	1763.0	1825.0	4.Mid Modern Period 1751-1900AD	4.Mid Modern Period 1751-1900AD	7917387	Culture-core	1.0		Missing	novelist	4.Mid Modern Period 1751-1900AD	Missing	1403	3	1701	1	6	17.327831	1222112.0			Ireland	United_Kingdom	P:_'Ireland'_'England'_can't_verifyB1B2	Old_(before_year_1931_AD)_Ireland	United_Kingdom	enwiki	Europe	grA					0	D:_novelist_P:_novelist_writer_novelist_English
1541870	Q5094579										Female	Culture	Cheyenne_Haynes	Northern America					29697023	Culture-core	0.84615386	0.15384616	Culture-periphery	singer	Missing	Missing	8920	2	2647	2	2	18.887602	708806.0	US	'US'	US		D:_'US'_matchB1_P:_'US'	US	Missing	enwiki|afwiki	America	grA	-118.2436828613280		34.05223083496090		0	D:_singer_dancer_model_actor_actor_P:_actress_dancer_singer_English
1069434	Q3082848	1908.0	2000.0				1908.0	1908.0	2000.0	2000.0	Male	Sports/Games	Frank_Waring	Southern Africa	1908.0	2000.0	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	1892100	Sports/Games	1.0		Missing	player	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	1178	3	2749	2	1	16.786079	1212742.0	South_Africa	'South_Africa'	South_Africa		D:_'South_Africa'_matchB1_P:_'South_Africa'	South_Africa	Missing	frwiki|afwiki	Africa	grB	18.42499923706060		-33.92499923706060		0	D:_player_P:_joueur_rugby_sport_French
1193941	Q3484190	1978.0					1978.0	1978.0			Male	Culture	Simon_Andriveau	Western Europe	1978.0	2061.6216	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	5103834	Culture-core	0.80000001	0.2	Culture-periphery	artist	5.Contemporary period 1901-2020AD	Missing	2826	3	2541	1	6	18.427795	932360.0	France	'France'	France		D:_'France'_matchB1_P:_'France'	France	Missing	frwiki	Europe	grB	4.028611183166500		49.26527786254880		0	D:_artist_P:_auteur_bande dessinÃ©e_Ã©dition_French
962035	Q283026	1849.0	1936.0				1849.0	1849.0	1936.0	1936.0	Male	Leadership	Basil_Zaharoff	Southern Europe	1849.0	1936.0	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	54886	Corporate/Executive/Business (large)	0.63157892		Missing	trader	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	565202	3	29821	17	22	29.573812	15409.0	France,Greece,Old_regimes_in_/_of_Turkey	'France'_'Greece'_'Ottoman_Empire'	Greece	France	D:_'France'_'Greece'_'Ottoman_Empire'_matchB1B2_P:_'Greece'_'France'	Greece	France	frwiki|dewiki|elwiki|enwiki|eswiki|hrwiki|iswiki|jawiki|ptwiki|ruwiki|svwiki|trwiki|ukwiki|hywiki|gawiki|fiwiki|arwiki	Europe	grA	28.36666679382320	7.42523717880249	37.21666717529300	43.73894119262700	0	D:_trader_business_P:_industrialist_merchant_business_English_marchand_financier_guerre_French_unternehmer_German_registro_financier_guerra_Spanish_ guia_prostituiÃ§Ã£o_bombeir_Portuguese_affÃ¤rsman_handel_Swedish
1792934	Q5898605	1907.0				century	1907.0	1907.0	1901.0	2000.0	Male	Discovery/Science	Hira_Lal_Chakravarty	South Asia incl. Indian Peninsula	1907.0	1987.0535	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	3005843	Academia	1.0		Missing	botanist	5.Contemporary period 1901-2020AD	Missing	399	3	1593	1	2	15.164698	1861200.0	India,Old_regimes_in_/_of_India	'India'_'British_Raj'	India		D:_'India'_'British_Raj'_matchB1_P:_'India'	India	Missing	eswiki	Asia	grB					0	D:_botanist_P:_profesor_botÃ¡nic_Spanish
362563	Q16226901										Female	Sports/Games	Helena_O'Neill	Western Europe					28092330	Sports/Games	0.66666669	0.33333334	Culture-core	camogie	Missing	Missing	564	2	1677	1	0	14.172944	2573881.5			Ireland		P:_'Ireland'_can't_verifyB1	Ireland	Missing	enwiki	Europe	grA	-7.256100177764890		52.64770126342770		0	D:_P:_camogie_player_star_English
1118585	Q3193919	1905.0	2008.0				1905.0	1905.0	2008.0	2008.0	Female	Culture	Tamako_Kataoka	Eastern Asia	1905.0	2008.0	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	46520855	Culture-core	1.0		Missing	artist	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	93035	3	7198	4	15	24.704498	125216.0	Japan	'Japan'	Japan		D:_'Japan'_matchB1_P:_'Japan'	Japan	Missing	frwiki|jawiki|enwiki|dewiki	Asia	grA	141.3543853759770		43.06208419799810		0	D:_artist_painter_P:_painter_English_ artiste_artiste_peintre_French
191317	Q1454630	1826.0	1886.0				1826.0	1826.0	1886.0	1886.0	Male	Other	Karl_Moritz_GroÃmann	Western Europe	1826.0	1886.0	4.Mid Modern Period 1751-1900AD	4.Mid Modern Period 1751-1900AD	4049992	Worker/Business (small)	0.5	0.5	Corporate/Executive/Business (large)	uhrmacher	4.Mid Modern Period 1751-1900AD	4.Mid Modern Period 1751-1900AD	4004	3	2644	1	8	19.066845	824819.0	Germany	'Germany'	Germany		D:_'Germany'_matchB1_P:_'Germany'	Old_(before_year_1990_AD)_Germany	Missing	dewiki	Europe	grB	13.73999977111820	12.375	51.04999923706060	51.34000015258790	0	D:_entrepreneur_P:_uhrmacher_fabrikant_German
627062	Q19956432	1900.0	1944.0				1900.0	1900.0	1944.0	1944.0	Male	Culture	J.-Arthur_Lemay	Northern America	1900.0	1944.0	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	8795584	Culture-core	0.80000001	0.2	Culture-periphery	humourist	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	760	3	2514	1	1	15.85489	1785093.0	Canada	'Canada'	Canada		D:_'Canada'_matchB1_P:_'Canada'	Canada	Missing	frwiki	America	grB	-72.61669921875	-73.5616683959961	46.21670150756840	45.50888824462890	0	D:_humourist_P:_caricaturiste_dessinateur_portraitiste_French
1878945	Q6207833	1972.0					1972.0	1972.0			Female	Culture	Jodhi_Meares	Oceania Western World	1972.0	2053.6411	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	7801849	Culture-periphery	1.0		Missing	designer	5.Contemporary period 1901-2020AD	Missing	342788	3	2031	3	1	22.441097	706784.5	Australia	'Australia'	Australia		D:_'Australia'_matchB1_P:_'Australia'	Australia	Missing	cywiki|enwiki|zhwiki	Oceania	grA					0	D:_designer_P:_television_fashion designer_designer_English
1542434	Q5097407	1976.0					1976.0	1976.0			Male	Sports/Games	Chike_Okeafor	Northern America	1976.0	2055.7266	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	4797561	Sports/Games	1.0		Missing	football	5.Contemporary period 1901-2020AD	Missing	16686	3	2431	1	1	18.905329	1175760.0	US	'US'	US		D:_'US'_matchB1_P:_'US'	US	Missing	enwiki	America	grA	-85.6680908203125		42.96335983276370		0	D:_football_P:_football_player_linebacker_English
404411	Q16649190	1362.0	1447.0				1362.0	1362.0	1447.0	1447.0	Male	Leadership	Ericus_Johannis_(birgittinmunk)	Northern Europe	1362.0	1447.0	2.Post-Classical History 501-1500AD	2.Post-Classical History 501-1500AD	6333048	Religious	1.0		Missing	munk	2.Post-Classical History 501-1500AD	2.Post-Classical History 501-1500AD	55	3	1006	1	1	12.378563	2555493.0	Sweden	'Sweden'	Sweden		D:_'Sweden'_matchB1_P:_'Sweden'	Old_(before_year_1523_AD)_Sweden	Missing	svwiki	Europe	grB					0	D:_P:_munk_Swedish
913713	Q27078201	1987.0					1987.0	1987.0			Male	Sports/Games	Daniel_BolÃ­var	South America	1987.0	2065.1382	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	6103066	Sports/Games	1.0		Missing	futsal	5.Contemporary period 1901-2020AD	Missing	85	3	1680	1	0	12.608928	2784497.0			Colombia		P:_'Colombia'_can't_verifyB1	Colombia	Missing	itwiki	America	grB	-75.5748291015625		6.244747161865230		0	D:_futsal_P:_giocatore_calcio_Italian
2031495	Q7079758	1975.0					1975.0	1975.0			Male	Culture	Ofo_Uhiara	Western Europe	1975.0	2058.2861	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	2481283	Culture-core	0.80000001	0.2	Administration/Law	actor	5.Contemporary period 1901-2020AD	Missing	11356	3	1243	1	1	17.850235	1550331.0	United_Kingdom_of_Great_Britain_and_Northern_Ireland	'United_Kingdom'	United_Kingdom		D:_'United_Kingdom'_mismatchB2_P:_'Nigeria'_'England'	United_Kingdom	Missing	enwiki	Europe	grA					0	D:_actor_P:_ actor_police_opera_English
2139808	Q7599689	1916.0	1988.0				1916.0	1916.0	1988.0	1988.0	Male	Leadership	Stanley_Hudecki	Northern America	1916.0	1988.0	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	3984631	Politics	1.0		Missing	politician	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	1356	3	1750	1	0	15.376329	2309171.0	Canada	'Canada'	Canada		D:_'Canada'_matchB1_P:_'Canada'	Canada	Missing	enwiki	America	grA	-79.8691635131836		43.25666809082030		0	D:_politician_P:_parliament_liberal_parliament_English
2191793	Q7938181	1980.0					1980.0	1980.0			Male	Sports/Games	Vladan_MilosavljeviÄ	Southern Europe	1980.0	2056.4961	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	16409623	Sports/Games	1.0		Missing	football	5.Contemporary period 1901-2020AD	Missing	1741	3	1903	1	1	16.402517	1698719.0	Serbia	'Serbia'	Serbia		D:_'Serbia'_matchB1_P:_'Serbia'	Serbia	Missing	enwiki	Europe	grA	20.45694351196290		44.81777954101560		0	D:_football_P:_football_midfield_English
2175799	Q7817729	1868.0	1949.0				1868.0	1868.0	1949.0	1949.0	Male	Sports/Games	Tom_Sullivan_(rower)	Oceania Western World	1868.0	1949.0	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	25697574	Sports/Games	1.0		Missing	rower	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	1569	3	2380	1	0	15.829163	2109449.0	New_Zealand	'New_Zealand'	New_Zealand		D:_'New_Zealand'_matchB1_P:_'New_Zealand'	New_Zealand	Missing	enwiki	Oceania	grA	174.7833404541020	16.37249946594240	-36.84999847412110	48.20833206176760	0	D:_rower_rowing_P:_ rowing_champion_coach_English
615223	Q19838669	1933.0	2015.0				1933.0	1933.0	2015.0	2015.0	Male	Leadership	Giovanni_Azzaretti	Southern Europe	1933.0	2015.0	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	5429562	Politics	1.0		Missing	politician	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	1820	3	1321	1	1	16.081982	1921106.0	Italy	'Italy'	Italy		D:_'Italy'_matchB1_P:_'Italy'	Italy	Missing	itwiki	Europe	grB	9.199999809265140	9.009166717529300	44.81666564941410	44.99250030517580	0	D:_politician_P:_politico_Italian
1668642	Q5511638	1962.0					1962.0	1962.0			Male	Sports/Games	FÃ©lix_Ricardo_Torres	South America	1962.0	2037.6045	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	18879510	Sports/Games	1.0		Missing	football	5.Contemporary period 1901-2020AD	Missing	5793	3	18781	5	2	21.396122	476852.0	Paraguay	'Paraguay'	Paraguay		D:_'Paraguay'_matchB1_P:_'Paraguay'	Paraguay	Missing	enwiki|itwiki|frwiki|eswiki|tgwiki	America	grA	-57.63333511352540		-25.29999923706060		0	D:_football_football_P:_football_striker_coach_English_joueur_football_entraÃ®neur_French_calciatore_attaccante_Italian_futbolista_fÃºtbol_club_Spanish
1005367	Q29016951	1994.0					1994.0	1994.0			Male	Sports/Games	Shin_Don-gin	Eastern Asia	1994.0	2070.2341	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	10738303	Sports/Games	1.0		Missing	sport	5.Contemporary period 1901-2020AD	Missing	64	3	1979	1	2	13.602119	1895400.0	South_Korea	'South_Korea'	South_Korea		D:_'South_Korea'_matchB1_P:_'South_Korea'	South_Korea	Missing	frwiki	Asia	grB					0	D:_sport_P:_ coureur_coureur_cycliste_French
1068084	Q30807488	1965.0					1965.0	1965.0			Male	Other	Ralf_Strehlau	Western Europe	1965.0	2038.4911	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	9952406	Worker/Business (small)	0.5	0.5	Corporate/Executive/Business (large)	berater	5.Contemporary period 1901-2020AD	Missing	1110	3	1629	1	0	15.105195	2416893.5			Germany		P:_'Germany'_can't_verifyB1	Germany	Missing	dewiki	Europe	grB	10.0		53.54999923706060		0	D:_P:_unternehmer_berater_German
157924	Q1359247	1978.0					1978.0	1978.0			Male	Culture	Murphy_Lee	Northern America	1978.0	2064.6179	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	909866	Culture-core	0.78947371	0.15789473	Corporate/Executive/Business (large)	music	5.Contemporary period 1901-2020AD	Missing	211430	3	17346	9	10	26.723324	67092.0	US	'US'	US		D:_'US'_matchB1_P:_'US'	US	Missing	dewiki|frwiki|eswiki|enwiki|itwiki|svwiki|trwiki|kowiki|ptwiki	America	grA	-90.19944763183590		38.62638854980470		0	D:_music_rapper_singer_actor_P:_rapper_chief executive_executive_English_rappeur_groupe_French_musiker_German_rapero_Spanish_rapper_executiv_gravador_Portuguese_rappare_Swedish
641714	Q20090368	1984.0					1984.0	1984.0			Male	Culture	James_Bye_(actor)	Western Europe	1984.0	2068.3049	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	46929247	Culture-core	0.80000001	0.2	Worker/Business (small)	actor	5.Contemporary period 1901-2020AD	Missing	150625	3	3990	2	1	22.006132	667585.0	United_Kingdom_of_Great_Britain_and_Northern_Ireland	'United_Kingdom'	United_Kingdom		D:_'United_Kingdom'_matchB1_P:_'England'	United_Kingdom	Missing	enwiki|eswiki	Europe	grA	-1.087599992752080		51.26670074462890		0	D:_actor_P:_ actor_English_actor_tender_Spanish
746667	Q22122551	2001.0					2001.0	2001.0			Female	Culture	Teresita_Commentz	South America	2001.0	2082.8552	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	7233947	Culture-core	0.75	0.25	Culture-periphery	actor	5.Contemporary period 1901-2020AD	Missing	122704	3	1832	1	2	21.023031	948804.0	Chile	'Chile'	Chile		D:_'Chile'_matchB1_P:_'Chile'	Chile	Missing	eswiki	America	grB	-71.0		-33.0		0	D:_actor_P:_actriz_televisiÃ³n_Spanish
867979	Q25768324	1890.0	1970.0				1890.0	1890.0	1970.0	1970.0	Male	Leadership	Joseph_Clancy_(politician)	Northern America	1890.0	1970.0	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	51041234	Corporate/Executive/Business (large)	0.5714286	0.42857143	Politics	business	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	37	3	1319	1	0	11.592106	2952202.0			US		P:_'US'_can't_verifyB1	US	Missing	enwiki	America	grA					0	D:_business_politician_P:_business_politician_business_English
1367683	Q441498	1965.0					1965.0	1965.0			Female	Sports/Games	Natalya_Pomoshchnikova-Voronova	Eastern Europe	1965.0	2033.0913	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	3572926	Sports/Games	1.0		Missing	athletic	5.Contemporary period 1901-2020AD	Missing	8155	3	15683	11	5	22.943939	257789.0	Former_Soviet_Union,Russia	'Soviet_Union'_'Russia'	Russia		D:_'Soviet_Union'_'Russia'_matchB1_P:_'Russia'	Russia	Missing	enwiki|dewiki|frwiki|eswiki|ruwiki|itwiki|plwiki|svwiki|cswiki|astwiki|slwiki	Europe	grA	37.19027709960940		55.99777603149410		0	D:_athletic_P:_athlete_olympian_olympic_English_athlÃ¨te_French_velocista_Italian_sprint_German_atleta_campeon_Spanish_friidrottare_idrottare_lÃ¶pning_Swedish
141750	Q1332391	1914.0	1934.0				1914.0	1914.0	1934.0	1934.0	Male	Leadership	Infante_Gonzalo_of_Spain	Southern Europe	1914.0	1934.0	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	8580847	Nobility	0.46153846	0.30769232	Family	king	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	206833	3	22484	13	3	26.285643	190150.0	Spain	'Spain'	Spain		D:_'Spain'_mismatchB2_P:_'Spain'_'Mauritius'	Spain	Missing	ptwiki|dewiki|jawiki|plwiki|frwiki|enwiki|eswiki|cawiki|itwiki|idwiki|zhwiki|elwiki|ruwiki	Europe	grA	-3.702500104904180	14.15105247497560	40.41666793823240	46.63504028320310	0	D:_P:_ son_child_king_English_famille royale_French_ regina_Italian_schwester_auto_radfahrer_German_infante_menor_Spanish_infante_filho_rei_Portuguese
833308	Q2442215	1863.0	1933.0				1863.0	1863.0	1933.0	1933.0	Male	Culture	Robert_Anning_Bell	Western Europe	1863.0	1933.0	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	19666512	Culture-core	0.66666669	0.33333334	Culture-periphery	painter	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	13228	3	6658	5	39	23.774757	172507.5	United_Kingdom_of_Great_Britain_and_Northern_Ireland	'United_Kingdom'	United_Kingdom		D:_'United_Kingdom'_matchB1_P:_'England'	United_Kingdom	Missing	cawiki|enwiki|eswiki|itwiki|nlwiki	Europe	grA	-0.1274999976158140	-0.0833333358168602	51.50722122192380	51.5	0	D:_painter_P:_ artist_designer_English_pittore_illustratore_Italian_artista_pintor_diseÃ±ador_Spanish
2216212	Q8056401	1974.0					1974.0	1974.0			Male	Sports/Games	Yosvani_PÃ©rez	Caribbean	1974.0	2046.8822	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	7386351	Sports/Games	1.0		Missing	baseball	5.Contemporary period 1901-2020AD	Missing	2336	3	1757	2	0	16.328451	1665042.0	Cuba	'Cuba'	Cuba		D:_'Cuba'_matchB1_P:_'Cuba'	Cuba	Missing	enwiki|jawiki	America	grA					0	D:_baseball_P:_pitcher_baseball_pitcher_English
1577009	Q52206	1505.0	1565.0			circa	1505.0	1505.0	1565.0	1565.0	Male	Culture	Lope_de_Rueda	Southern Europe	1505.0	1565.0	3.Early Modern Period 1501-1750AD	3.Early Modern Period 1501-1750AD	1221866	Culture-core	1.0		Missing	playwright	3.Early Modern Period 1501-1750AD	3.Early Modern Period 1501-1750AD	168008	3	15643	16	30	27.956835	29418.0	Spain	'Spain'	Spain		D:_'Spain'_matchB1_P:_'Spain'	Spain	Missing	cswiki|cawiki|dewiki|enwiki|eswiki|euwiki|frwiki|itwiki|ruwiki|simplewiki|srwiki|svwiki|eowiki|ocwiki|glwiki|plwiki	Europe	grA	-5.983333110809330	-4.766666889190670	37.38333511352540	37.88333511352540	0	D:_playwright_writer_actor_P:_ drama_dramatist_author_English_dramaturge_poÃ¨te_thÃ©Ã¢tre_French_ dramma_drammaturgo_Italian_ drama_dichter_German_actor_drama_dramaturg_Spanish_ skÃ¥despelare_teater_drama_Swedish
175555	Q1405856	1860.0	1939.0				1860.0	1860.0	1939.0	1939.0	Male	Culture	Ferdinand_Vach	Western Europe	1860.0	1939.0	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	2425016	Culture-core	1.0		Missing	composer	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	1668	3	3153	4	3	18.473934	703357.0	Czech_Republic	'Czech_Republic'	Czech_Republic		D:_'Czech_Republic'_mismatchB2_P:_'Czech_Republic'_'Slovakia'	Old_(before_year_1993_AD)_Czech_Republic	Missing	dewiki|cswiki|cawiki|itwiki	Europe	grB	14.63280010223390	16.60833358764650	49.96360015869140	49.19527816772460	0	D:_composer_conductor_choir_director_organist_P:_musicista_Italian_ musik_musiker_German
671034	Q20739699	1854.0	1940.0				1854.0	1854.0	1940.0	1940.0	Male	Leadership	Frank_K._Dunn	Northern America	1854.0	1940.0	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	47346699	Administration/Law	1.0		Missing	judge	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	1301	3	1275	1	0	15.018591	2534174.0	US	'US'	US		D:_'US'_matchB1_P:_'US'	US	Missing	enwiki	America	grA	-82.83170318603520		40.55220031738280		0	D:_judge_P:_jurist_English
1243805	Q3702612										Male	Leadership	Dario_Livraghi	Southern Europe					3501705	Military	0.66666669	0.33333334	Administration/Law	militar	Missing	Missing	1079	2	1250	1	0	14.524653	2602363.0	Italy	'Italy'	Italy		D:_'Italy'_matchB1_P:_'Italy'	Italy	Missing	itwiki	Europe	grB					0	D:_militar_P:_carabiniere_Italian
1553430	Q51292805	1968.0					1968.0	1968.0			Male	Sports/Games	Igor_Gojanovic	Western Europe	1968.0	2044.2	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	10289776	Sports/Games	1.0		Missing	basket	5.Contemporary period 1901-2020AD	Missing	114	3	1096	1	0	12.464167	2976865.0	Switzerland	'Switzerland'	Switzerland		D:_'Switzerland'_matchB1_P:_'Switzerland'	Switzerland	Missing	dewiki	Europe	grB	6.633333206176760		46.53333282470700		0	D:_basket_P:_basketball_German
565724	Q18822358	1917.0	2014.0				1917.0	1917.0	2014.0	2014.0	Male	Leadership	William_"Bill"_Ralph_Merton	Western Europe	1917.0	2014.0	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	45147186	Corporate/Executive/Business (large)	0.60000002	0.2	Military	bank	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	710	3	2141	1	2	16.032137	1577484.5	United_Kingdom_of_Great_Britain_and_Northern_Ireland,United_Kingdom_of_Great_Britain_and_Northern_Ireland	'United_Kingdom'_'United_Kingdom_of_Great_Britain_and_Ireland'	United_Kingdom		D:_'United_Kingdom'_'United_Kingdom_of_Great_Britain_and_Ireland'_matchB1_P:_'England'	United_Kingdom	Missing	enwiki	Europe	grA	-0.1333000063896180	-1.25	51.4995002746582	51.08333206176760	0	D:_bank_P:_militar_scientist_merchant_English
