	wikidata_code	birth	death	updated_death_date	approx_birth	approx_death	birth_min	birth_max	death_min	death_max	gender	level1_main_occ	name	un_subregion	birth_estimation	death_estimation	bigperiod_birth_graph_b	bigperiod_death_graph_b	curid	level2_main_occ	freq_main_occ	freq_second_occ	level2_second_occ	level3_main_occ	bigperiod_birth	bigperiod_death	wiki_readers_2015_2018	non_missing_score	total_count_words_b	number_wiki_editions	total_noccur_links_b	sum_visib_ln_5criteria	ranking_visib_5criteria	all_geography_groups	string_citizenship_raw_d	citizenship_1_b	citizenship_2_b	list_areas_of_rattach	area1_of_rattachment	area2_of_rattachment	list_wikipedia_editions	un_region	group_wikipedia_editions	bplo1	dplo1	bpla1	dpla1	pantheon_1	level3_all_occ
1399942	Q467685	1173.0	1240.0		circa		1173.0	1173.0	1240.0	1240.0	Male	Leadership	Llywelyn_the_Great	Western Europe	1173.0	1240.0	2.Post-Classical History 501-1500AD	2.Post-Classical History 501-1500AD	48090	Nobility	0.5	0.25	Politics	monarch	2.Post-Classical History 501-1500AD	2.Post-Classical History 501-1500AD	452951	3	37913	22	12	29.267067	29767.0	United_Kingdom_of_Great_Britain_and_Northern_Ireland	'Wales'	United_Kingdom		D:_'Wales'_matchB1_P:_'Wales'	United_Kingdom	Missing	gdwiki|frwiki|enwiki|eswiki|nowiki|cawiki|itwiki|cywiki|idwiki|brwiki|cswiki|bgwiki|gawiki|zhwiki|hewiki|ruwiki|dewiki|kkwiki|euwiki|nlwiki|kowiki|bewiki	Europe	grA	-3.895230054855350	-3.828900098800660	53.04240036010740	53.28070068359380	0	D:_monarch_P:_ king_ruler_king_English_ roi_French_figlio_Italian_herrscher_diplomat_German_prÃ­ncipe_gobernante_mayor_Spanish
358958	Q16220805	1871.0	1925.0				1871.0	1871.0	1925.0	1925.0	Female	Leadership	Suzanne_Foccart	Western Europe	1871.0	1925.0	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	7601956	Religious	1.0		Missing	nun	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	2352	3	3362	1	0	16.578457	1882147.0	France	'France'	France		D:_'France'_matchB1_P:_'France'	France	Missing	frwiki	Europe	grB	4.837500095367430	-2.844722270965580	48.6341667175293	47.5966682434082	0	D:_nun_P:_ religieuse_French
505941	Q178468	1890.0	1964.0				1890.0	1890.0	1964.0	1964.0	Female	Leadership	Florence_Reville_Gibbs	Northern America	1890.0	1964.0	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	9800107	Politics	1.0		Missing	politician	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	6930	3	5055	2	3	19.85743	566164.0	US	'US'	US		D:_'US'_mismatchB2_P:_'US'_'Georgia'	US	Missing	dewiki|enwiki	America	grA	-82.49939727783200	-81.88500213623050	33.46720123291020	31.60190010070800	0	D:_politician_P:_congress_representative_English_politiker_German
1320000	Q4069232				century		1901.0	2000.0			Male	Culture	Bruce_Stambler	Northern America	1951.0	2034.6152	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	22791947	Culture-core	0.55555558	0.33333334	Culture-periphery	drama	Missing	Missing	5030	3	9045	4	2	20.342098	536656.0	US	'US'	US		D:_'US'_matchB1_P:_'US'	US	Missing	dewiki|enwiki|frwiki|ptwiki	America	grA					0	D:_audio_P:_editor_drama_film_English_monteur_French_techniker_film_film_German
296993	Q16002468	1995.0					1995.0	1995.0			Male	Sports/Games	Suriya_Singmui	SouthEast Asia	1995.0	2065.9678	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	42342839	Sports/Games	1.0		Missing	football	5.Contemporary period 1901-2020AD	Missing	33169	3	3234	5	4	21.892473	360462.0	Thailand	'Thailand'	Thailand		D:_'Thailand'_matchB1_P:_'Thailand'	Thailand	Missing	thwiki|enwiki|jawiki|viwiki|arwiki	Asia	grA	100.5966644287110		7.206110954284670		0	D:_football_P:_football_left back_club_English
1008206	Q290517	1926.0	2015.0				1926.0	1926.0	2015.0	2015.0	Female	Culture	DaniÃ¨le_Delorme	Western Europe	1926.0	2015.0	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	2063029	Culture-core	1.0		Missing	film	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	429816	3	21173	14	26	28.935537	20021.5	France	'France'	France		D:_'France'_matchB1_P:_'France'	France	Missing	lbwiki|ptwiki|dewiki|euwiki|frwiki|ruwiki|enwiki|fiwiki|itwiki|brwiki|nlwiki|huwiki|fawiki|eswiki	Europe	grA	2.287777662277220	2.332233428955080	48.89333343505860	48.85052871704100	0	D:_film_actor_actor_P:_actress_film_producer_English_actrice_productrice_cinÃ©ma_French_attrice_cinema_teatrale_Italian_schauspiel_film_film_German_actriz_productor_cine_Spanish_atriz_Portuguese
1670965	Q55183560										Male	Leadership	Brian_Meshkin						57753036	Corporate/Executive/Business (large)	0.80000001	0.2	Academia	entrepreneur	Missing	Missing	1297	2	2435	1	0	15.374466	2159227.0						Missing	Missing	enwiki		grA					0	D:_entrepreneur_P:_entrepreneur_science_entrepreneur_English
1543771	Q51043052	1979.0					1979.0	1979.0			Male	Culture	Espen_Reinertsen	Northern Europe	1979.0	2063.9441	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	56957317	Culture-core	1.0		Missing	saxophonist	5.Contemporary period 1901-2020AD	Missing	288	3	1470	2	0	14.069064	2259662.0			Norway		P:_'Norway'_can't_verifyB1	Norway	Missing	enwiki|nowiki	Europe	grA	10.49555587768560		60.44111251831060		0	D:_saxophonist_P:_saxophonist_composer_music_English
455211	Q1706752	1956.0					1956.0	1956.0			Male	Leadership	Joseph_Bambera	Northern America	1956.0	2034.9657	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	26314954	Religious	1.0		Missing	priest	5.Contemporary period 1901-2020AD	Missing	11069	3	4775	3	2	20.26853	542866.0	US	'US'	US		D:_'US'_matchB1_P:_'US'	US	Missing	enwiki|dewiki|plwiki	America	grA	-75.5		41.56666564941410		0	D:_priest_P:_prelate_church_bishop_English_bischof_German
601500	Q19629344	1981.0					1981.0	1981.0			Male	Sports/Games	Olivier_Muytjens	Western Europe	1981.0	2058.5173	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	8643688	Sports/Games	0.80000001	0.2	Culture-core	driver	5.Contemporary period 1901-2020AD	Missing	2062	3	5128	2	0	17.274649	1352182.5	Belgium	'Belgium'	Belgium		D:_'Belgium'_matchB1_P:_'Belgium'	Belgium	Missing	frwiki|dewiki	Europe	grB	-46.63394546508790		-23.55039405822750		0	D:_driver_P:_ pilote auto_French_autor_rennfahrer_German
858428	Q254172	1856.0	1903.0				1856.0	1856.0	1903.0	1903.0	Male	Culture	Jean_Fernand-Lafargue	Western Europe	1856.0	1903.0	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	1529660	Culture-core	1.0		Missing	writer	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	4582	3	3356	2	6	19.59409	554498.0	France	'France'	France		D:_'France'_matchB1_P:_'France'	France	Missing	dewiki|frwiki	Europe	grB	-0.5794444680213930	-0.5883079767227170	44.83777618408200	44.80859756469730	0	D:_writer_P:_Ã©crivain_French_ schriftsteller_German
2039668	Q712516	1862.0	1918.0				1862.0	1862.0	1918.0	1918.0	Male	Leadership	Motono_IchirÅ	Eastern Asia	1862.0	1918.0	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	895170	Administration/Law	0.625	0.375	Politics	diplomat	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	18466	3	2376	5	10	21.787151	321885.0	Japan	'Japan'	Japan		D:_'Japan'_matchB1_P:_'Japan'	Old_(before_year_1947_AD)_Japan	Missing	zhwiki|jawiki|kowiki|ruwiki|enwiki	Asia	grA	129.9486083984380		33.1613883972168		0	D:_diplomat_politician_judge_P:_statesman_diplomat_English
159507	Q1362317	1958.0					1958.0	1958.0			Male	Leadership	Yuval_Steinitz	Western Asia (Middle East Caucasus)	1958.0	2034.4984	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	7219768	Politics	0.47368422	0.47368422	Academia	politician	5.Contemporary period 1901-2020AD	Missing	124297	3	18167	18	8	26.679543	77178.0	Israel	'Israel'	Israel		D:_'Israel'_matchB1_P:_'Israel'	Israel	Missing	dewiki|jawiki|cswiki|fawiki|ruwiki|hewiki|eswiki|enwiki|zhwiki|nlwiki|ukwiki|idwiki|dawiki|trwiki|arwiki|etwiki|frwiki|plwiki	Asia	grA	34.88739776611330		32.16879653930660		0	D:_politician_teacher_philosopher_education_academic_P:_minister_ministry_intelligence_English_ministre_French_politiker_minister_German_polÃ­tica_derecha_ministr_Spanish
491778	Q17489735				century		1901.0	2000.0			Male	Culture	Arash_"AJ"_Maddah	Oceania Western World	1951.0	2034.7803	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	43501773	Culture-core	1.0		Missing	music	Missing	Missing	17662	3	3408	2	0	19.012184	1084997.0	Australia	'Australia'	Australia		D:_'Australia'_mismatchB2_P:_'Australia'_'Iran'	Australia	Missing	enwiki|dewiki	Oceania	grA					0	D:_music_P:_ music_stage_English
2192362	Q7938986	1972.0					1972.0	1972.0			Male	Sports/Games	Vladyslav_Tereshchenko	Eastern Europe	1972.0	2044.3722	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	24700378	Sports/Games	1.0		Missing	canoe	5.Contemporary period 1901-2020AD	Missing	438	3	1153	1	1	14.528594	2330035.5	Ukraine	'Ukraine'	Ukraine		D:_'Ukraine'_matchB1_P:_'Ukraine'	Ukraine	Missing	enwiki	Europe	grA					0	D:_canoe_P:_sprint_canoe_olympic_English
65175	Q114753	1816.0	1880.0				1816.0	1816.0	1880.0	1880.0	Male	Discovery/Science	Adolf_Ficker	Western Europe	1816.0	1880.0	4.Mid Modern Period 1751-1900AD	4.Mid Modern Period 1751-1900AD	1906113	Academia	1.0		Missing	economist	4.Mid Modern Period 1751-1900AD	4.Mid Modern Period 1751-1900AD	6710	3	2455	4	9	20.530262	419875.0	Austria	'Austria'	Austria		D:_'Austria'_matchB1_P:_'Austria'	Old_(before_year_1955_AD)_Austria	Missing	dewiki|svwiki|ruwiki|eowiki	Europe	grB	17.25083351135250	16.37249946594240	49.59388732910160	48.20833206176760	0	D:_economist_teacher_P:_statistiker_German_statistiker_Swedish
510144	Q1800171	1972.0					1972.0	1972.0			Male	Leadership	Peter_Å½iga	Eastern Europe	1972.0	2045.5536	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	37953094	Politics	0.80000001	0.2	Academia	politician	5.Contemporary period 1901-2020AD	Missing	17568	3	5284	7	0	20.426132	838217.5	Slovakia	'Slovakia'	Slovakia		D:_'Slovakia'_matchB1_P:_'Slovakia'	Slovakia	Missing	dewiki|enwiki|frwiki|cswiki|plwiki|skwiki|cawiki	Europe	grA	21.25		48.71666717529300		0	D:_politician_economist_P:_politician_minister_politician_English_politique_ministre_French_politiker_German
2119710	Q7426104	1939.0					1939.0	1939.0			Male	Discovery/Science	Satendra_Nandan	Oceania not Aus Nze	1939.0	2017.4034	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	9225492	Academia	0.60000002	0.2	Politics	academic	5.Contemporary period 1901-2020AD	Missing	6089	3	2077	2	6	19.398579	608363.0	Fiji	'Fiji'	Fiji		D:_'Fiji'_matchB1_P:_'Fiji'	Fiji	Missing	enwiki|hifwiki	Oceania	grA					0	D:_academic_P:_academic_writer_politician_English
540522	Q18508450	1900.0	1996.0			circa	1900.0	1900.0	1996.0	1996.0	Male	Culture	Brynolf_Hellner	Northern Europe	1900.0	1996.0	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	8116293	Culture-core	0.75	0.25	Academia	photographer	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	145	3	1631	1	10	15.49255	1494606.0	Sweden	'Sweden'	Sweden		D:_'Sweden'_matchB1_P:_'Sweden'	Sweden	Missing	svwiki	Europe	grB	18.08248329162600		59.50121688842770		0	D:_photographer_P:_historiker_fotograf_Swedish
